2010 Winter Games *Historic* Temporary Accommodation,Entertainment
Animal Clinic/Hospital,Animal Services
Animal Services Animal Walking,Animal Services
Animal Services Other,Animal Services
Veterinarian *Historic*,Animal Services
Animal Services Animal Grooming,Animal Services
Animal Services Animal Training,Animal Services
Animal Services Veterinarian,Animal Services
Animal Services Animal Daycare,Animal Services
Pet Store,Animal Services
Animal Services Animal Sitting,Animal Services
Animal Services Kennel,Animal Services
Animal Services Animal Control,Animal Services
Animal Services Animal Washing,Animal Services
PET SHOP,Animal Services
Apartment House,Apartment
Apartment House Strata,Apartment
Duplex,Apartment
Multiple Dwelling,Apartment
Non-profit Housing,Apartment
Office Interior Design/Decorator,Apartment
Office Notary Public,Apartment
One-Family Dwelling,Apartment
Pre-1956 Dwelling Multiple,Apartment
Residential/Commercial,Apartment
Rooming House,Apartment
Pre-1956 Dwelling Duplex,Apartment
Roofer Other,Apartment
Assembly Hall,Apartment
Arcade,Apartment
Pre-1956 Dwelling One Family,Apartment
Public House *Historic*,Apartment
Public Market - Daily,Apartment
Bowling Alley,Apartment
Steam Bath,Apartment
Apartment House-99 Year Lease,Apartment
Lumber Yard,Apartment
Duplex Strata,Apartment
Venue Concert Hall,Apartment
Apartment House Retirement Residence,Apartment
BOWLING HOUSE,Apartment
BATH HOUSE,Apartment
PUBLIC GARAGE,Apartment
PUBLIC HALL,Apartment
SECOND HAND SALVAGE YARD,Apartment
SWIMMING POOL,Apartment
Artist,Art Industry
Artist Live/Work Studio Other,Art Industry
Electrical-Temporary (Filming),Art Industry
Office Graphic Artist,Art Industry
Production Company Video Production,Art Industry
Studio,Art Industry
Studio Portrait/Photography Studio,Art Industry
Artist Live/Work Studio,Art Industry
Studio Artist Studio,Art Industry
Studio Other,Art Industry
Studio Recording Studio,Art Industry
Production Company Music Production,Art Industry
Studio Art Gallery,Art Industry
Studio Performing Arts Studio,Art Industry
Electrical-Temporary (Filming) Administration,Art Industry
Artist Cartoon/Animation,Art Industry
Artist Live/Work Studio Interpreter/Translator,Art Industry
Artist Graphics,Art Industry
Electrical-Temporary (Filming) Music Production,Art Industry
Electrical-Temporary (Filming) Other,Art Industry
Auto Dealer,Auto Industry
Auto Detailing,Auto Industry
Auto Painter & Body Shop,Auto Industry
Auto Repairs,Auto Industry
Gasoline Station Split-Island Station,Auto Industry
Office Development Company,Auto Industry
Office Ship's Chandler,Auto Industry
Rentals Equipment Rental,Auto Industry
Auto Washer,Auto Industry
Gasoline Station Marine Station,Auto Industry
Personal Services Freight Forwarding,Auto Industry
Conventional Gas Station *Historic*,Auto Industry
Gasoline Station Full-Serve Station,Auto Industry
Gasoline Station Self-Serve Station,Auto Industry
Moving/Transfer Service Transport,Auto Industry
Auto Wholesaler,Auto Industry
Boat Charter Services,Auto Industry
Rentals Party Supplies Rental,Auto Industry
Marine Services Marine Maintenance,Auto Industry
Marine Services Marine Transport,Auto Industry
Peddler,Auto Industry
Financial Institution Trust Company,Auto Industry
Gasoline Station Card Lock Station,Auto Industry
Marine Services Stevedore,Auto Industry
Marine Services Cruise Ship Supplies,Auto Industry
Transient Trader/Peddler-A,Auto Industry
Exhibitions/Shows/Concerts Automobile/Motorcycle Racing,Auto Industry
Transient Trader/Peddler-W,Auto Industry
Auto Wrecker,Auto Industry
Marine Services Marine Towing,Auto Industry
Animal Services Animal Transportation,Auto Industry
Retail Dealer - Food Computer Time Rental,Auto Industry
Auto Dealer Other,Auto Industry
Gas Station - Marine *Historic*,Auto Industry
Horse Racing,Auto Industry
Lounge 'A' *Historic* Motor Vessel,Auto Industry
Transient Trader/Peddler-W Other,Auto Industry
PRIVATE TRANSPORTATION COMPANY,Auto Industry
TAXICAB BROKER,Auto Industry
LIMOUSINE SERVICE COMPANY,Auto Industry
DRIVE-SELF RENTAL OWNER,Auto Industry
MOTOR VEHICLE RACING,Auto Industry
AUTO SERVICE STATION,Auto Industry
TRANSIENT TRADER,Auto Industry
LIMOUSINE OWNER,Auto Industry
TOW TRUCK OWNER,Auto Industry
MOTORIZED REFRESHMENT VEHICLE OWNER,Auto Industry
HAWKER/PEDLAR WITH MOTOR VEHICLE,Auto Industry
HORSE DRAWN VEHICLE OWNER,Auto Industry
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,Auto Industry
Beauty Services Hair Replacement,Beauty
Cosmetologist Esthetician,Beauty
Cosmetologist Hair Stylist/Hairdresser,Beauty
Cosmetologist Nail Technician,Beauty
Hairdresser *Historic*,Beauty
Hairdressing Salon *Historic*,Beauty
Health and Beauty Beauty Salon,Beauty
Health and Beauty Beauty and Wellness Centre,Beauty
Beauty Services Make-up,Beauty
Beauty Services Other,Beauty
Beauty Services Relaxation Machine *Historic*,Beauty
Esthetician *Historic*,Beauty
Beauty Services Electrolysis *Historic*,Beauty
Beauty Services Hair Removal,Beauty
Beauty Services Skin Care *Historic*,Beauty
Nail Technician *Historic* Manicures Only,Beauty
Beauty Services Ear Piercing,Beauty
Beauty Services Slimming Salon *Historic*,Beauty
Beauty Services Laser Hair Removal *Historic*,Beauty
Beauty Services Hair-piece Specialist,Beauty
Beauty Services Massage/Relaxation Machine *Historic*,Beauty
Beauty Services Manicurist *Historic*,Beauty
Nail Technician *Historic* Manicures & Pedicures Only,Beauty
Ltd Service Food Establishment Beauty Salon,Beauty
Beauty Services Beauty Salon,Beauty
Beauty Services Nail Technician *Historic*,Beauty
Hairdressing Salon *Historic* Other,Beauty
Beauty Services,Beauty
Contractor,Contractor
Contractor - Special Trades Demolition/Excavation,Contractor
Contractor - Special Trades Installation,Contractor
Contractor - Special Trades Masonry,Contractor
Contractor - Special Trades Other,Contractor
Contractor Alterations & Repairs,Contractor
Contractor Other,Contractor
Electrical Contractor,Contractor
Contractor - Special Trades Air Conditioning,Contractor
Contractor - Special Trades Glazier,Contractor
Contractor - Special Trades Insulation,Contractor
Contractor - Special Trades Irrigation,Contractor
Contractor Framing,Contractor
Contractor - Special Trades,Contractor
Contractor - Special Trades Flooring,Contractor
Contractor - Special Trades Tiler,Contractor
Electrical Contractor Signs,Contractor
Contractor - Special Trades Stucco,Contractor
Contractor Demolition,Contractor
Contractor - Special Trades Refrigeration,Contractor
Contractor Excavation,Contractor
Electrical Contractor Installation,Contractor
Electrical Contractor Other,Contractor
Contractor Masonry,Contractor
Electrical Contractor Alterations & Repairs,Contractor
DRAIN CONTRACTOR,Contractor
DRAIN LAYER,Contractor
HEATING CONTRACTOR,Contractor
PLUMBING & HEATING CONTRACTOR,Contractor
DRIVEWAY PAVING CONTRACTOR,Contractor
PLUMBING CONTRACTOR,Contractor
Office Administration,Contractors
Venue Arena,Convention Centre
Venue Theatre,Convention Centre
Venue Stadium,Convention Centre
Venue Performance Stage,Convention Centre
Venue Other,Convention Centre
Auctioneer,Dealer
Real Estate Dealer,Dealer
Retail Dealer Flowers,Dealer
Retail Dealer Furnishings,Dealer
Secondhand Dealer,Dealer
Secondhand Dealer Class 4 (Retail),Dealer
Machinery Dealer,Dealer
Secondhand Dealer Class 3,Dealer
Secondhand Dealer Class 2 (Retail),Dealer
Secondhand Dealer Class 5 (Retail),Dealer
Secondhand Dealer Class 1,Dealer
Junk Dealer,Dealer
Secondhand Dealer Electronics,Dealer
SMOKE SHOP,Dealer
PAWN SHOP,Dealer
SECOND HAND DEALER,Dealer
SECOND HAND SHOP,Dealer
SECOND HAND SALVAGE SHOP,Dealer
AUCTIONEER,Dealer
COLLECTOR OF SECOND HAND GOODS,Dealer
Educational Technical Writer,Education
Educational Tutor,Education
Instruction Acting/Drama Instruction,Education
Instruction Computer Instruction,Education
Instruction Craft Instruction,Education
Instruction Dance Academy,Education
Instruction Fitness Instruction,Education
Instruction Martial Arts Instruction,Education
Instruction Other,Education
Laboratory,Education
School (Business & Trade) Trade School,Education
ESL Instruction ESL Instruction - 18 and Over,Education
Instruction ESL Instruction - 18 and Over,Education
Instruction Music Teacher,Education
Educational Student Placement,Education
Educational Training Facilities,Education
Instruction Language Instruction,Education
School (Private),Education
Educational Student Recruiting,Education
Instruction,Education
Instruction Dance Instruction,Education
Educational Interpreter/Translator,Education
Educational Other,Education
Instruction Business Instruction,Education
Instruction Diving Instruction,Education
Instruction Windsurfing Instruction,Education
Instruction Art Instruction,Education
Educational Films,Education
Instruction Cycling Instruction,Education
Instruction ESL Instruction - Under 18,Education
Educational Translation *Historic*,Education
Instruction Tennis Instruction,Education
Educational Career Guidance,Education
ESL Instruction ESL Instruction - Under 18,Education
Instruction Gymnastics Instruction,Education
Instruction Hockey Instruction,Education
Educational Evaluation Service,Education
Instruction Soccer Instruction,Education
Instruction Boating Instruction,Education
Educational Teacher Recruiting,Education
Instruction Riding Instruction,Education
Instruction Writing Instruction,Education
Laboratory Administration,Education
School (Private) Business School,Education
Instruction Drama Instruction *Historic*,Education
Laboratory Other,Education
DRIVING INSTRUCTOR (V),Education
Cabaret *Historic*,Entertainment
Club,Entertainment
Club Lounge *Historic*,Entertainment
Entertainment Services Disc Jockey,Entertainment
Entertainment Services Event Coordinator,Entertainment
Exhibitions/Shows/Concerts Other,Entertainment
Production Company Film Production,Entertainment
Production Company TV Production,Entertainment
Scavenging,Entertainment
Theatre Adult,Entertainment
Adult Entertainment Store,Entertainment
Entertainment Services Cartoon/Animation,Entertainment
Entertainment Services Dance/Event Promoter,Entertainment
Entertainment Services Writer/Editor,Entertainment
Exhibitions/Shows/Concerts Show/Contest,Entertainment
Entertainment Services Actor/Stunt Person,Entertainment
Exhibitions/Shows/Concerts Concert: 2000+ people,Entertainment
Late Night Dance Event 350 to 750 persons,Entertainment
Lounge 'A' *Historic*,Entertainment
Lounge 'A' *Historic* Social Club/Recreation,Entertainment
Entertainment Services Children's Entertainment,Entertainment
Theatre Live,Entertainment
Entertainment Services Handwriting Analyst,Entertainment
Entertainment Services Press/Media/Reporter,Entertainment
Entertainment Services Producer,Entertainment
Office Tourist Service,Entertainment
Theatre Neighbourhood,Entertainment
Entertainment Services Hypnotist,Entertainment
Late Night Dance Event 2000 or more persons,Entertainment
Casino,Entertainment
Entertainment Services Other,Entertainment
Christmas Tree Lot,Entertainment
Entertainment Services,Entertainment
Entertainment Services Song Writer,Entertainment
Late Night Dance Event 750 to 2000 persons,Entertainment
Electrical-Temporary (Filming) Film Production,Entertainment
Theatre Other,Entertainment
Entertainment Centre,Entertainment
Entertainment Services 1-900 Service,Entertainment
Entertainment Services Curling Rink,Entertainment
Exhibitions/Shows/Concerts Concert: 500 people,Entertainment
Late Night Dance Event Concert: 500-1000 people,Entertainment
Family Sports & Entertain Ctr,Entertainment
Bingo Hall,Entertainment
Entertainment Services Recording/Duplication,Entertainment
Dance Hall,Entertainment
Late Night Dance Event Less than 350 persons,Entertainment
Exhibitions/Shows/Concerts Concert: 500-1000 people,Entertainment
Entertainment Services Composer,Entertainment
Exhibitions/Shows/Concerts Concert: 1000-2000 people,Entertainment
Exotic Dancers,Entertainment
Exhibitions/Shows/Concerts Farmers' Market,Entertainment
Piano Tuner,Entertainment
Entertainment Services Radio Station,Entertainment
Entertainment Services Aquarium,Entertainment
Entertainment Services Face Painting,Entertainment
Casino Class 1 - Casino,Entertainment
Entertainment Services TV Station,Entertainment
Amusement Park,Entertainment
Exhibitions/Shows/Concerts Ferris Wheel/Merry-Go-Round *Historic*,Entertainment
Entertainment Services Football Handicaps *Historic*,Entertainment
Casino Class 2 - Casino,Entertainment
Entertainment Services Laser Tag,Entertainment
Scavenging Other,Entertainment
Exhibitions/Shows/Concerts Circus/Rodeo,Entertainment
Late Night Dance Event Concert: 2000+ people,Entertainment
Electrical-Temporary (Filming) Video Production,Entertainment
Trailer Court,Entertainment
ADULT ENTERTAINMENT CLUB,Entertainment
PLACE OF AMUSEMENT,Entertainment
BILLIARD HALL,Entertainment
CARNIVAL,Entertainment
CIRCUS,Entertainment
THEATRE,Entertainment
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment
Financial Services Accountant/Auditor,Financial
Financial Services Bookkeeping Service,Financial
Financial Services Collection Agent,Financial
Financial Services Finance Agent,Financial
Financial Services Investment Company,Financial
Financial Services Other,Financial
Financial Services Tax Service,Financial
Money Services Currency Exchange,Financial
Money Services Money Sending Service,Financial
Moving/Transfer Service,Financial
Moving/Transfer Service Courier/Messenger,FInancial
Moving/Transfer Service Delivery,Financial
Financial Institution Bank,Financial
Financial Services Bank Machine,Financial
Financial Services Mortgage Company,Financial
Money Services Money Lending Service,Financial
Financial Institution Credit Union,Financial
Financial Services Credit Union,Financial
Financial Services Currency Exchange,Financial
Financial Services Merchant Bank Loan,Financial
Cheque Cashing *Historic*,Financial
Financial Services Money Lending Service,Financial
Financial Services Bank,Financial
Financial Services Trust Company,Financial
Money Services Cheque Cashing,Financial
Financial Services Financial Planner,Financial
Financial Services GST Refund Service,Financial
Financial Services Stock Exchange,Financial
Financial Services Money Sending Service,Financial
Financial Services Professional Fund Raiser,Financial
Financial Services Real Estate Development/Investment,Financial
Financial Services Solvency Service,Financial
Financial Services Bankruptcy,Financial
Financial Services Credit Card Service,Financial
Financial Services Financial Executor,Financial
Financial Institution Money Sending Service,Financial
Office Secretarial Services,Fireworks
PERMANENT FIREWORKS VENDOR,Fireworks
TEMPORARY FIREWORKS VENDOR (UNDER 25 KG),Fireworks
TEMPORARY FIREWORKS VENDOR (OVER 25 KG),Fireworks
TEMPORARY LEASE FIREWORKS VENDOR,Fireworks
TEMPORARY MOBILE FIREWORKS VENDOR,Fireworks
Dining Lounge *Historic*,Food
Dining Lounge/Room *Historic*,Food
Food Processing,Food
Hotel,Food
Ltd Service Food Establishment,Food
Restaurant Class 1,Food
Restaurant Class 1 No Liquor Service,Food
Restaurant Class 2,Food
Restaurant Class 1 & Karaoke *Historic*,Food
Ltd Service Food Establishment Convenience Store,Food
Ltd Service Food Establishment Concession Stand,Food
Ltd Service Food Establishment Other,Food
Agriculture Urban Farm Class B,Food
Ltd Service Food Establishment Clothing/Shoes,Food
Restaurant Class 2 No Liquor Service,Food
Ltd Service Food Establishment Flowers,Food
Ltd Service Food Establishment Produce,Food
Temp Liquor Licence Amendment De-Licensing,Food
Caterer Other,Food
EATING ESTABLISHMENT,Food
BOULEVARD CAFE,Food
Health Services Chiropractor/Chiropodist,Health
Health Services Counselling,Health
Health Services Dentist,Health
Health Services Denturist,Health
Health Services First Aid Service,Health
Health Services Health Care Facility,Health
Health Services Home Care,Health
Health Services Laser Therapy,Health
Health Services Other,Health
Health Services Physician/Surgeon,Health
Health Services Psychologist,Health
Health and Beauty,Health
Health and Beauty Barber Shop,Health
Health and Beauty Health Enhancement Centre,Health
Herbalist *Historic*,Health
Health Services Audiologist,Health
Health Services Naturopathic Doctor,Health
Health Services Occupational Therapy,Health
Health Services TCM Practitioner,Health
Health Services Acupuncturist,Health
Health Services Nursing Service,Health
Health Services Optometrist/Optician,Health
Health Services Psychiatrist,Health
Health Services Doctor of TCM,Health
Health Services Fitness,Health
Health Services Hypnotist,Health
Health Services Speech Pathologist,Health
Private Hospital,Health
Health Services Art Therapist,Health
Health Services Social Worker,Health
Health Services Recreational Therapy,Health
Health Services Respiratory Therapy,Health
Specialized Services Retail - Medical Marijuana-related Advocacy,Health
Health Services Ocularist/Artificial Eye Service,Health
Health Services,Health
Health Services Acupressure *Historic*,Health
Health Services Pharmaceutical Evaluation,Health
Health Services Podiatrist,Health
Health Services Sample Collection,Health
Health Services Herbalist,Health
Health Services Midwife,Health
Health Services Wellness Testing,Health
Herbalist *Historic* Vitamins/Health Food,Health
Health Services Horticultural Therapy,Health
Health Services Dance Therapist,Health
Health Services Enema Service/Colonic Irrigation,Health
Health Services Oculist/Eye Surgeon,Health
Health Services Post Op Care *Historic*,Health
Health Services Dental Reception,Health
Health Services Artificial Eye Service *Historic*,Health
Carpet/Upholstery Cleaner,Household
Contractor Building,Household
Electrical-Security Alarm Installation,Household
Gas Contractor,Household
Homecraft,Household
Landscape Gardener,Household
Laundry-Coin Operated Services,Household
Painter,Household
Plumber,Household
Plumber & Gas Contractor,Household
Dry Cleaner,Household
Laundry (w/equipment),Household
Pest Control/Exterminator,Household
Plumber & Sprinkler Contractor,Household
Plumber Sprinkler & Gas Contractor,Household
Roofer Residential Building,Household
Sprinkler Contractor,Household
Window Cleaner,Household
