2010 Winter Games *Historic* Temporary Accommodation,Entertainment
Contractor - Special Trades Building,Household
Laundry Depot,Household
Pawnbroker,Household
Roofer Commercial Building,Household
Repair/ Service/Maintenance Other,Household
Sprinkler & Gas Contractor,Household
Plumber & Gas Contractor Other,Household
Chimney Sweep,Household
Gas Station - Propane *Historic*,Household
Homecraft Other,Household
Janitorial Services Other,Household
Contractor - Special Trades Residential Building,Household
Electrical-Security Alarm Installation Other,Household
LAUNDRY,Household
INSULATION INSTALLER,Household
BUILDING CLEANER,Household
BUILDING RENOVATOR,Household
CHIMNEY REPAIRMAN,Household
MASTER PLUMBER,Household
MASTER HEATING INSTALLER,Household
Jeweller,Jewellery
Jeweller Internet,Jewellery
Manufacturer with Anc. Retail Metal Products,Jewellery
Jeweller Other,Jewellery
PRECIOUS METAL SHOP,Jewellery
Liquor Establishment Standard Class 7 (Private Club),Liquor
Liquor License Application Liquor Primary,Liquor
Liquor License Application Marine Public House,Liquor
Liquor Retail Store,Liquor
Restaurant Class 1 With Liquor Service,Liquor
Temp Liquor Licence Amendment Patron Participation,Liquor
Temp Liquor Licence Amendment Trial Period,Liquor
Liquor License Application Neighbourhood Public House,Liquor
Liquor Retail Store Beer & Wine,Liquor
Liquor Retail Store Beer Only,Liquor
Provincial Liquor Review *Historic* Seating Increase,Liquor
Temp Liquor Licence Amendment Chg of Hours,Liquor
U-Brew/U-Vin,Liquor
Liquor Retail Store Full Service,Liquor
Liquor Retail Store Brewery,Liquor
Neighbourhood Pub *Historic*,Liquor
Temp Liquor Licence Amendment Area Extension,Liquor
Restaurant Class 2 With Liquor Service,Liquor
Liquor License Application Lounge,Liquor
Liquor Retail Store Specialty Wine,Liquor
Liquor Retail Store Wine,Liquor
Liquor Delivery Services,Liquor
Liquor License Application Beer & Wine,Liquor
Specialty Wine Store *Historic* VQA Wine,Liquor
Liquor License Application Cabaret,Liquor
Specialty Wine Store *Historic*,Liquor
Liquor License Application Public House,Liquor
Temp Liquor Licence Amendment,Liquor
Liquor License Application Restaurant - Class 2,Liquor
Marine Pub *Historic*,Liquor
Liquor License Application Motor Vessel,Liquor
Liquor License Application Stadium/ Concert Hall,Liquor
Liquor Delivery Services Other,Liquor
Temp Liquor Licence Amendment Capacity Increase,Liquor
Liquor License Application Dining Room/Lounge,Liquor
Manufacturer,Manufacturing
Manufacturer Furniture,Manufacturing
Manufacturer Garments,Manufacturing
Manufacturer Other,Manufacturing
Manufacturer Wood Products,Manufacturing
Office Manufacturer's Agent,Manufacturing
Product Assembly,Manufacturing
Seamstress/Tailor,Manufacturing
Manufacturer Glass Products,Manufacturing
Manufacturer Metal Products,Manufacturing
Manufacturer Plastic Products,Manufacturing
Manufacturer Paper Products,Manufacturing
Manufacturer Design Company,Manufacturing
Manufacturer Publisher,Manufacturing
Manufacturer Electronics,Manufacturing
Equipment Operator,Operator
School (Business & Trade) Business School,Operator
Warehouse Operator,Operator
Office Tour Operator/Guide,Operator
School (Business & Trade),Operator
Warehouse Operator - Food,Operator
Marina Operator,Operator
Warehouse Operator - Food Broker,Operator
DRIVING SCHOOL OPERATOR (B),Operator
CLOTHING DROP BOX OPERATOR,Operator
DRIVING SCHOOL OPERATOR (V),Operator
Bed and Breakfast,Other
Caterer,Other
Live-aboards,Other
Office Insurance Agent,Other
Office Mortgage Company,Other
Office Other,Other
Telecommunications Communication,Other
Telecommunications Long Distance,Other
Telecommunications Other,Other
Telecommunications Service,Other
Card Lock Station *Historic*,Other
Livery & Feed Stables,Other
Split-island Station *Historic*,Other
Self-serve Station *Historic*,Other
Manufacturer Signs,Other
Community Association Administration,Other
Community Association Other,Other
Homecraft Candlemaking *Historic*,Other
Telecommunications,Other
HOLISTIC CENTRE,Other
TEMPORARY SIGN - A-FRAME,Other
TEMPORARY SIGN - MOBILE,Other
TEMPORARY SIGN - GROUND-MOUNTED,Other
TEMPORARY SIGN - PORTABLE,Other
HAWKER/PEDLAR ON FOOT,Other
HAWKER/PEDLAR WITH PUSH CART,Other
Acupuncturist *Historic*,Personal Service
Boot & Shoe Repairs,Personal Service
Dating Services,Personal Service
Fitness Centre,Personal Service
Janitorial Services,Personal Service
Massage Therapist,Personal Service
Personal Services Cleaning Service,Personal Service
Personal Services Cook/Chef,Personal Service
Personal Services Decorating Service,Personal Service
Personal Services Errand Service,Personal Service
Personal Services Info/Research Service,Personal Service
Personal Services Inspection/Testing,Personal Service
Personal Services Key Cutting/Engraving,Personal Service
Personal Services Other,Personal Service
Personal Services Plant/Tree Maintenance,Personal Service
Physical Therapist,Personal Service
Psychic/Fortune Teller,Personal Service
Social Escort,Personal Service
Therapeutic Touch Technique,Personal Service
Travel Agent,Personal Service
Wedding Chapel,Personal Service
Fitness Centre Fitness Centre,Personal Service
Personal Services Fabric Cutting/Protection,Personal Service
Social Escort Services,Personal Service
Tanning Salon,Personal Service
Tattoo Parlour,Personal Service
Fitness Centre Fitness Centre - Class 1,Personal Service
Fitness Centre Fitness Centre - Class 2,Personal Service
Personal Services Process Server,Personal Service
Tattoo Parlour Tattoo Services *Historic*,Personal Service
Personal Services Recruiting Service,Personal Service
Security Services Other,Personal Service
Personal Care Home,Personal Service
Personal Services Plant/Tree Removal,Personal Service
Personal Services Project Management,Personal Service
Personal Services Tool Filer/Sharpener,Personal Service
Personal Services Pool Maintenance,Personal Service
Personal Services Shopping Service,Personal Service
Tattoo Parlour Body Branding/Thermal Imaging *Historic*,Personal Service
Personal Services Accommodation Finding,Personal Service
Security Services Closed Circuit TV Installer,Personal Service
Personal Services Fire Extinguisher Inspection,Personal Service
Security Services Private Investigator,Personal Service
Personal Services Shoe Shine,Personal Service
Personal Services Candlemaking *Historic*,Personal Service
Personal Services Packing/Packaging,Personal Service
Personal Services Monumental Works,Personal Service
Personal Services Window Tinting,Personal Service
Body Rub Parlour *Historic*,Personal Service
Personal Services Body Guard/Protection,Personal Service
Personal Services Furniture Refinishing,Personal Service
Therapeutic Touch Technique Other,Personal Service
Fitness Centre Personal Training Centre,Personal Service
Photo Services Microfilm,Personal Service
Beauty Services Body Wrap *Historic*,Personal Service
Personal Services Art Restoration,Personal Service
Office Public Bike Share,Personal Service
Personal Services Bicycle Registration,Personal Service
Personal Services Mailing Service,Personal Service
Fitness Centre Other,Personal Service
Employment Agency Home Care,Personal Service
Personal Services Dying Service *Historic*,Personal Service
Personal Services Pen-pal Service,Personal Service
Personal Services Interpreter/Translator,Personal Service
Psychic/Fortune Teller Other,Personal Service
Tattoo Parlour Body Piercing *Historic*,Personal Service
Security Services Electronic Locking Device Installer,Personal Service
Seamstress/Tailor Clothing/Shoes,Personal Service
BODY RUB PARLOUR,Personal Service
PERSONAL SERVICES SETTINGS,Personal Service
Recycling Depot Other,Recycling
Bottle Depot *Historic*,Recycling
Recycling Depot Bottle Depot,Recycling
Recycling Depot,Recycling
Recycling Depot Paper Depot,Recycling
Recycling Depot Scrap Metal Depot,Recycling
One-Family Dwelling Primary (1 Rental),Rental
Rentals Computer Time Rental,Rental
Rentals Video Rental,Rental
Secondary Suite - Permanent Primary (1 Rental),Rental
Secondary Suite - Permanent Primary (2 Rentals),Rental
Secondary Suite - Permanent Primary (2 Rentals) and Laneway,Rental
One-Family Dwelling Laneway Rental,Rental
Postal Rental Agency,Rental
Rentals,Rental
Rentals Other,Rental
Secondary Suite - Permanent Primary (1 Rental) and Laneway,Rental
Rentals Adult Video Rental,Rental
Secondary Suite - Permanent Laneway Rental,Rental
One-Family Dwelling Primary (1 Rental) and Laneway,Rental
Postal Rental Agency Other,Rental
Rentals Flowers,Rental
Postal Rental Agency Duplicating,Rental
Manufacturer with Anc. Retail,Retail
Retail Dealer,Retail
Retail Dealer - Food,Retail
Retail Dealer - Food Convenience Store,Retail
Retail Dealer - Food Produce,Retail
Retail Dealer - Food Small Pharmacy,Retail
Retail Dealer Art Gallery,Retail
Retail Dealer Books/Stationary,Retail
Retail Dealer Clothing/Shoes,Retail
Retail Dealer Electronics,Retail
Retail Dealer Hardware/Garden Supplies,Retail
Retail Dealer Other,Retail
Retail Dealer Sports & Leisure Equipment,Retail
Wholesale Dealer - Food,Retail
Retail Dealer - Food Other,Retail
Retail Dealer - Food Vitamins/Health Food,Retail
Retail Dealer Antique Dealer,Retail
Retail Dealer Gifts/Novelties,Retail
Retail Dealer Kiosk - Temporary,Retail
Retail Dealer - Food Bakery,Retail
Retail Dealer Kiosk - Permanent,Retail
Retail Dealer Pharmacy,Retail
Retail with Anc. Secondhand *Historic*,Retail
Retail Dealer - Grocery,Retail
Wholesale Dealer w/ Anc. Retail,Retail
Secondhand Dealer Class 6 (Retail),Retail
Security Services Retail Alarms,Retail
Retail Dealer Video Rental,Retail
Retail Dealer - Grocery Other,Retail
Retail Dealer - Food Gifts/Novelties,Retail
Manufacturer - Food with Anc. Retail,Retail
Retail Dealer Department Store,Retail
Manufacturer - Food with Anc. Retail Confections,Retail
Wholesale Dealer - Food Other,Retail
Specialized Services Retail - Compassion Club,Retail
Wholesale Dealer - Food Produce,Retail
Retail Dealer - Market Outlet > 50000 sq ft,Retail
Ltd Service Food Establishment No Liquor Service,Retail
Manufacturer with Anc. Retail Other,Retail
Retail Dealer - Food Neighbourhood,Retail
Wholesale Dealer - Food with Anc. Retail,Retail
Retail Dealer Adult Video Rental,Retail
Retail Dealer - Food Department Store,Retail
Retail Dealer Alterations & Repairs,Retail
Retail Dealer Currency Exchange,Retail
Retail Dealer Confections,Retail
Wholesale Dealer - Food Vitamins/Health Food,Retail
Retail Dealer Shipping Agent,Retail
Retail Dealer - Food Video Rental,Retail
Retail Dealer Administration,Retail
Retail Dealer Equipment Rental,Retail
Wholesale Dealer - Food with Anc. Retail Other,Retail
Manufacturer with Anc. Retail Wood Products,Retail
Wholesale Dealer - Food Butcher/Seafood,Retail
Retail Dealer Interior Design/Decorator,Retail
Retail Dealer Class 1,Retail
Retail Dealer Wood Products,Retail
Retail Dealer Duplicating,Retail
RETAIL STORE (FOOD),Retail
Auto Parking Lot/Parkade,Service
Community Association,Service
Computer Services Design,Service
Computer Services Graphics,Service
Computer Services Internet,Service
Computer Services Other,Service
Computer Services Software,Service
Computer Services Word Processing,Service
Contractor - Special Trades Signs,Service
Locksmith,Service
Model Agency,Service
Moving/Transfer Service Other,Service
Office Architect,Service
Office Barrister & Solicitor,Service
Office Broker,Service
Office Consultant,Service
Office Design Company,Service
Office Desk-top Publishing,Service
Office Drafting Service,Service
Office Engineer,Service
Office Insurance Adjuster,Service
Office Insurance Company,Service
Office Mail Order,Service
Office Management Company,Service
Office Mining Exploration,Service
Office Property Management,Service
Office Publisher,Service
Office Real Estate Development/Investment,Service
Photo Services Photo Finishing,Service
Photographer,Service
Printing Services,Service
Printing Services Other,Service
Printing Services Typesetting,Service
Production Company Other,Service
Referral Services,Service
Repair/ Service/Maintenance,Service
Secondary Suite - Permanent,Service
Secondary Suite - Phase Out *Historic*,Service
Security Services Alarm Monitoring,Service
Security Services Security Patrol,Service
Sheet Metal Works,Service
Soliciting For Charity,Service
Talent Agency,Service
Billiard Room Keeper,Service
Club Manager *Historic*,Service
Computer Services Network,Service
Computer Services Programming,Service
Employment Agency,Service
Lounge 'A' *Historic* Hotel,Service
Office Advertising Agent,Service
Office Project Management,Service
Office Shipping Agent,Service
Office Word Processing,Service
Photo Services Photo Identification Service,Service
Printing Services Duplicating,Service
Printing Services Photocopy,Service
Printing Services Silk Screen,Service
Security Services Security Consultants,Service
Sign Permit *Historic*,Service
Computer Services Animation,Service
Computer Services Integration,Service
Office Answering/Paging Service,Service
Office Surveyor,Service
Office Valet Parking Service,Service
Photo Services Photo Editing,Service
Power/ Pressure Washing,Service
Property Management *Historic*,Service
Security Services,Service
Booking Agency,Service
Hotel Lounge *Historic*,Service
Moving/Transfer Service Goods,Service
Backyard Pay Parking,Service
Photo Services Photo Lab *Historic*,Service
Computer Services,Service
Computer Services Database Management,Service
Computer Services Information,Service
Security Services Security Guard,Service
Funeral Services,Service
Business Services,Service
Computer Services Data Processing,Service
Marine Services Other,Service
Office Appraisal Service,Service
Office Sign Writer,Service
Printing Services Pre-press,Service
Computer Services Analysis,Service
Photo Services Other,Service
Photo Services Photographic Assembly *Historic*,Service
Printing Services Laminating,Service
Beauty Services Clothing/Shoes,Service
Office Translation *Historic*,Service
Public Market Operator-Annual,Service
Community Association Manager *Historic*,Service
Photo Services Photographic Service *Historic*,Service
Talent Agency Other,Service
Funeral Services Undertaker,Service
Office Interpreter/Translator,Service
Printing Services Blueprint,Service
Office Software,Service
Retail Dealer Residential Building,Service
Dairy Delivery Services,Service
Computer Services Graphic Artist,Service
Employment Agency Other,Service
Computer Services Design Company,Service
Repair/ Service/Maintenance Electronics,Service
Motel,Service
Secondary Suite - Permanent Other,Service
Sheet Metal Works Other,Service
Blueprint Printing *Historic*,Service
Warehouse Operator Clothing/Shoes,Service
Photo Services,Service
Community Association Event Coordinator,Service
Office Alarm Monitoring,Service
Office Pre-press,Service
PRIVATE PARKING ENFORCEMENT AGENCY,Service
TEMPORARY SIGN PROVIDER,Service
COMMERCIAL PARKING LOT,Service
TEMPORARY SIGN - NEW DEVELOPMENT,Service
CLOTHING DROP BOX LOCATION PERMIT,Service
ADVERTISING,Service
BILL DISTRIBUTOR,Service
TORONTO TAXICAB OWNER,Service
TAXICAB OWNER,Service
PEDICAB OWNER,Service
Telecommunications Marketing,Service Industry
BOULEVARD MARKETING,Service Industry
Manufacturer - Food,Vending Machine
Office Street Vendor,Vending Machine
Retail Dealer - Food Butcher/Seafood,Vending Machine
Office Mobile Food Vendor *Historic*,Vending Machine
Retail Dealer - Food Pharmacy,Vending Machine
Liquor License Application Food Primary,Vending Machine
Retail Dealer - Food Confections,Vending Machine
Vending Machines,Vending Machine
Vending Machines Newspaper,Vending Machine
Vending Machines Other,Vending Machine
Caterer Catering Truck,Vending Machine
CNIB Concession - Food,Vending Machine
Peddler - Food,Vending Machine
Vending Machines Advertising Agent,Vending Machine
Retail Dealer - Food Flowers,Vending Machine
Retail Dealer - Food Books/Stationary,Vending Machine
Vending Machines Bank Machine,Vending Machine
Manufacturer - Food Other,Vending Machine
SIDEWALK VENDING,Vending Machine
MOBILE VENDING (FOOD TRUCK),Vending Machine
CURBLANE VENDING,Vending Machine
MOBILE VENDING (ICE CREAM TRUCK),Vending Machine
Liquor Establishment Standard Class 1  0-65 Seats,Liquor
Liquor Establishment Standard Class 2  66-150 Seats,Liquor
Liquor Establishment Standard Class 3  151-300 Seats,Liquor
Special Beauty Culturist *Historic*  Esthetics Only,Beauty
Special Beauty Culturist *Historic*  Facials/Esthetics/Manicures/Pedicures,Beauty
Stadium/Concert Hall  *Historic*,Convention Centre
Wholesale  Dealer,Dealer
Liquor Establishment Extended  Class 2  66-150 Seats,Liquor
Liquor Establishment Extended  Class 3  151-300 Seats,Liquor
"Plumber, Sprinkler & Gas Contractor",Household
Special Beauty Culturist *Historic*  Facials & Manicures Only,Beauty
Wholesale  Dealer Consultant,Dealer
Wholesale  Dealer Hardware/Garden Supplies,Dealer
Liquor Establishment Standard Class 4  301-500 Seats,Liquor
Wholesale  Dealer Antique Dealer,Dealer
Liquor Establishment Extended  Class 1  0-65 Seats,Liquor
Wholesale  Dealer Other,Dealer
Liquor Establishment Extended  Class 5  501-950 Seats,Liquor
Liquor Establishment Standard Class 5  501-950 Seats,Liquor
Special Beauty Culturist *Historic*  Esthetics/Manicures/Pedicures,Beauty
Wholesale  Dealer Administration,Dealer
Wholesale  Dealer Garments,Dealer
Wholesale  Dealer Gifts/Novelties,Dealer
"Retail Dealer - Market Outlet > 50,000 sq ft",Dealer
Liquor Establishment Extended  Class 4  301-500 Seats,Liquor
Wholesale  Dealer Flowers,Dealer
Special Beauty Culturist *Historic*  Facials/Manicures/Pedicures,Beauty
Liquor Establishment Extended  Class 7 (Private Club),Liquor
Wholesale  Dealer Furnishings,Dealer
Electrolysis  *Historic*,Other
Special Beauty Culturist *Historic*  Facials Only,Beauty
Wholesale  Dealer Clothing/Shoes,Dealer
Special Beauty Culturist *Historic*  Facials & Esthetics Only,Beauty
Liquor Establishment Extended  Class 6  951 and up Seats,Liquor
Wholesale  Dealer Electronics,Dealer
Special Beauty Culturist *Historic*  Esthetics & Electrolysis Only,Beauty
Wholesale  Dealer Sports & Leisure Equipment,Dealer
Special Beauty Culturist *Historic*  Other,Beauty
Temp Liquor Licence Amendment Class 3  151-300 Seats,Liquor
