Vancouver,Toronto,Match
ADULT ENTERTAINMENT CLUB,Adult Entertainment Store,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Children's Entertainment,No
ADULT ENTERTAINMENT CLUB,Entertainment Services 1-900 Service,No
ADULT ENTERTAINMENT CLUB,Theatre Adult,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Other,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Centre,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Football Handicaps *Historic*,No
ADULT ENTERTAINMENT CLUB,Club,Yes
ADULT ENTERTAINMENT CLUB,Club Lounge *Historic*,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Event Coordinator,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Face Painting,No
ADULT ENTERTAINMENT CLUB,Lounge 'A' *Historic* Social Club/Recreation,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Radio Station,Yes
ADULT ENTERTAINMENT CLUB,Entertainment Services Producer,Yes
ADULT ENTERTAINMENT CLUB,Club Manager *Historic*,No
ADULT ENTERTAINMENT CLUB,Entertainment Services TV Station,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Aquarium,No
ADULT ENTERTAINMENT CLUB,Retail Dealer Adult Video Rental,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Recording/Duplication,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Song Writer,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Dance/Event Promoter,No
ADULT ENTERTAINMENT CLUB,Specialized Services Retail - Compassion Club,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Cartoon/Animation,No
ADULT ENTERTAINMENT CLUB,Rentals Adult Video Rental,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Actor/Stunt Person,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Laser Tag,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Composer,No
ADULT ENTERTAINMENT CLUB,Homecraft,No
ADULT ENTERTAINMENT CLUB,Homecraft Other,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Curling Rink,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Hypnotist,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Press/Media/Reporter,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Writer/Editor,No
ADULT ENTERTAINMENT CLUB,Entertainment Services Disc Jockey,Yes
ADULT ENTERTAINMENT CLUB,Homecraft Candlemaking *Historic*,No
ADULT ENTERTAINMENT CLUB,Liquor Establishment Extended Class 7 (Private Club),No
ADULT ENTERTAINMENT CLUB,Liquor Establishment Standard Class 7 (Private Club),No
ADULT ENTERTAINMENT CLUB,Family Sports & Entertain Ctr,No
ADULT ENTERTAINMENT CLUB,Business Services,No
ADULT ENTERTAINMENT CLUB,School (Private) Business School,No
ADVERTISING,Office Advertising Agent,Yes
ADVERTISING,Vending Machines Advertising Agent,No
ADVERTISING,Business Services,No
AUCTIONEER,Auctioneer,Yes
AUTO SERVICE STATION,Gasoline Station Marine Station,Yes
AUTO SERVICE STATION,Auto Detailing,Yes
AUTO SERVICE STATION,Auto Wholesaler,No
AUTO SERVICE STATION,Auto Repairs,Yes
AUTO SERVICE STATION,Auto Dealer,No
AUTO SERVICE STATION,Auto Dealer Other,No
AUTO SERVICE STATION,Auto Washer,Yes
AUTO SERVICE STATION,Auto Wrecker,Yes
AUTO SERVICE STATION,Gasoline Station Full-Serve Station,Yes
AUTO SERVICE STATION,Gasoline Station Self-Serve Station,Yes
AUTO SERVICE STATION,Gasoline Station Card Lock Station,Yes
AUTO SERVICE STATION,Gasoline Station Split-Island Station,Yes
AUTO SERVICE STATION,Gas Station - Marine *Historic*,Yes
AUTO SERVICE STATION,Entertainment Services Radio Station,No
AUTO SERVICE STATION,Conventional Gas Station *Historic*,Yes
AUTO SERVICE STATION,Entertainment Services TV Station,No
AUTO SERVICE STATION,Gas Station - Propane *Historic*,No
AUTO SERVICE STATION,Self-serve Station *Historic*,No
AUTO SERVICE STATION,Card Lock Station *Historic*,No
AUTO SERVICE STATION,Split-island Station *Historic*,No
AUTO SERVICE STATION,Auto Painter & Body Shop,Yes
AUTO SERVICE STATION,Auto Parking Lot/Parkade,No
BATH HOUSE,Steam Bath,Yes
BATH HOUSE,Apartment House,No
BATH HOUSE,Public House *Historic*,No
BATH HOUSE,Rooming House,No
BATH HOUSE,Apartment House Strata,No
BATH HOUSE,Apartment House-99 Year Lease,No
BATH HOUSE,Apartment House Retirement Residence,No
BATH HOUSE,Homecraft,No
BATH HOUSE,Homecraft Other,No
BATH HOUSE,Homecraft Candlemaking *Historic*,No
BATH HOUSE,One-Family Dwelling,No
BATH HOUSE,Contractor Building,No
BILLIARD HALL,Dance Hall,Yes
BILLIARD HALL,Bingo Hall,No
BILLIARD HALL,Assembly Hall,No
BILLIARD HALL,Billiard Room Keeper,No
BILLIARD HALL,Venue Concert Hall,No
BILLIARD HALL,Stadium/Concert Hall *Historic*,No
BODY RUB PARLOUR,Body Rub Parlour *Historic*,Yes
BODY RUB PARLOUR,Beauty Services Body Wrap *Historic*,Yes
BODY RUB PARLOUR,Tattoo Parlour Body Piercing *Historic*,No
BODY RUB PARLOUR,Personal Services Body Guard/Protection,No
BODY RUB PARLOUR,Auto Painter & Body Shop,No
BODY RUB PARLOUR,Homecraft,No
BODY RUB PARLOUR,Homecraft Other,No
BOULEVARD MARKETING,Telecommunications Marketing,Yes
BOWLING HOUSE,Bowling Alley,Yes
BOWLING HOUSE,Public House *Historic*,No
BOWLING HOUSE,Rooming House,No
BOWLING HOUSE,Apartment House,No
BOWLING HOUSE,Apartment House-99 Year Lease,No
BOWLING HOUSE,Apartment House Strata,No
BOWLING HOUSE,Apartment House Retirement Residence,No
BOWLING HOUSE,Homecraft,No
BOWLING HOUSE,Homecraft Other,No
BUILDING CLEANER,Window Cleaner,Yes
BUILDING CLEANER,Dry Cleaner,No
BUILDING CLEANER,Contractor Building,Yes
BUILDING CLEANER,Retail Dealer Residential Building,No
BUILDING CLEANER,Carpet/Upholstery Cleaner,Yes
BUILDING CLEANER,Roofer Commercial Building,No
BUILDING CLEANER,Roofer Residential Building,No
BUILDING CLEANER,Contractor - Special Trades Building,No
BUILDING CLEANER,Contractor - Special Trades Residential Building,Yes
BUILDING CLEANER,Homecraft,No
BUILDING CLEANER,Homecraft Other,No
BUILDING CLEANER,Homecraft Candlemaking *Historic*,No
BUILDING CLEANER,Public House *Historic*,No
BUILDING CLEANER,Personal Services Cleaning Service,No
BUILDING RENOVATOR,Contractor Building,Yes
BUILDING RENOVATOR,Roofer Residential Building,No
BUILDING RENOVATOR,Roofer Commercial Building,Yes
BUILDING RENOVATOR,Retail Dealer Residential Building,No
BUILDING RENOVATOR,Contractor - Special Trades Building,Yes
BUILDING RENOVATOR,Contractor - Special Trades Residential Building,Yes
BUILDING RENOVATOR,Homecraft,No
BUILDING RENOVATOR,Homecraft Other,No
CARNIVAL,Homecraft,No
CARNIVAL,Homecraft Other,No
CARNIVAL,Homecraft Candlemaking *Historic*,No
CHIMNEY REPAIRMAN,Chimney Sweep,Yes
CIRCUS,Homecraft,No
CIRCUS,Homecraft Other,No
CIRCUS,Exhibitions/Shows/Concerts Circus/Rodeo,Yes
CLOTHING DROP BOX LOCATION PERMIT,Sign Permit *Historic*,Yes
CLOTHING DROP BOX LOCATION PERMIT,Warehouse Operator Clothing/Shoes,Yes
CLOTHING DROP BOX LOCATION PERMIT,Ltd Service Food Establishment Clothing/Shoes,No
CLOTHING DROP BOX LOCATION PERMIT,Homecraft,No
CLOTHING DROP BOX LOCATION PERMIT,Homecraft Other,No
CLOTHING DROP BOX LOCATION PERMIT,Retail Dealer Clothing/Shoes,No
CLOTHING DROP BOX LOCATION PERMIT,Wholesale Dealer Clothing/Shoes,No
CLOTHING DROP BOX LOCATION PERMIT,Beauty Services Clothing/Shoes,Yes
CLOTHING DROP BOX LOCATION PERMIT,Homecraft Candlemaking *Historic*,No
CLOTHING DROP BOX OPERATOR,Warehouse Operator Clothing/Shoes,Yes
CLOTHING DROP BOX OPERATOR,Warehouse Operator - Food,No
CLOTHING DROP BOX OPERATOR,Public Market Operator-Annual,No
CLOTHING DROP BOX OPERATOR,Warehouse Operator - Food Broker,No
CLOTHING DROP BOX OPERATOR,Equipment Operator,No
CLOTHING DROP BOX OPERATOR,Warehouse Operator,No
CLOTHING DROP BOX OPERATOR,Retail Dealer Clothing/Shoes,No
CLOTHING DROP BOX OPERATOR,Wholesale Dealer Clothing/Shoes,No
CLOTHING DROP BOX OPERATOR,Ltd Service Food Establishment Clothing/Shoes,No
CLOTHING DROP BOX OPERATOR,Beauty Services Clothing/Shoes,No
CLOTHING DROP BOX OPERATOR,Office Tour Operator/Guide,No
CLOTHING DROP BOX OPERATOR,Homecraft,No
CLOTHING DROP BOX OPERATOR,Homecraft Other,No
CLOTHING DROP BOX OPERATOR,Marina Operator,No
CLOTHING DROP BOX OPERATOR,Seamstress/Tailor Clothing/Shoes,No
CLOTHING DROP BOX OPERATOR,Homecraft Candlemaking *Historic*,No
COLLECTOR OF SECOND HAND GOODS,Moving/Transfer Service Goods,No
COLLECTOR OF SECOND HAND GOODS,Homecraft,No
COLLECTOR OF SECOND HAND GOODS,Homecraft Other,No
COLLECTOR OF SECOND HAND GOODS,Homecraft Candlemaking *Historic*,No
COLLECTOR OF SECOND HAND GOODS,Health Services First Aid Service,No
COMMERCIAL PARKING LOT,Auto Parking Lot/Parkade,Yes
COMMERCIAL PARKING LOT,Backyard Pay Parking,Yes
COMMERCIAL PARKING LOT,Residential/Commercial,No
COMMERCIAL PARKING LOT,Roofer Commercial Building,No
COMMERCIAL PARKING LOT,Office Valet Parking Service,Yes
COMMERCIAL PARKING LOT,Christmas Tree Lot,No
COMMERCIAL PARKING LOT,Homecraft,No
COMMERCIAL PARKING LOT,Homecraft Other,No
COMMERCIAL PARKING LOT,Business Services,No
COMMERCIAL PARKING LOT,Contractor Building,No
CURBLANE VENDING,Vending Machines,Yes
CURBLANE VENDING,Vending Machines Other,Yes
CURBLANE VENDING,Vending Machines Newspaper,Yes
CURBLANE VENDING,Vending Machines Bank Machine,Yes
CURBLANE VENDING,Vending Machines Advertising Agent,No
DRAIN CONTRACTOR,Homecraft,No
DRAIN CONTRACTOR,Homecraft Other,No
DRIVE-SELF RENTAL OWNER,Rentals Computer Time Rental,No
DRIVE-SELF RENTAL OWNER,Retail Dealer Adult Video Rental,No
DRIVE-SELF RENTAL OWNER,Retail Dealer Video Rental,No
DRIVE-SELF RENTAL OWNER,Retail Dealer - Food Video Rental,No
DRIVE-SELF RENTAL OWNER,Rentals Adult Video Rental,No
DRIVE-SELF RENTAL OWNER,Retail Dealer Equipment Rental,No
DRIVE-SELF RENTAL OWNER,Self-serve Station *Historic*,No
DRIVE-SELF RENTAL OWNER,Retail Dealer - Food Computer Time Rental,Yes
DRIVE-SELF RENTAL OWNER,One-Family Dwelling Primary (1 Rental),No
DRIVE-SELF RENTAL OWNER,Rentals Video Rental,No
DRIVE-SELF RENTAL OWNER,Rentals Party Supplies Rental,Yes
DRIVE-SELF RENTAL OWNER,Postal Rental Agency Duplicating,No
DRIVE-SELF RENTAL OWNER,Rentals Equipment Rental,Yes
DRIVE-SELF RENTAL OWNER,Postal Rental Agency,No
DRIVE-SELF RENTAL OWNER,Postal Rental Agency Other,No
DRIVE-SELF RENTAL OWNER,One-Family Dwelling Laneway Rental,No
DRIVE-SELF RENTAL OWNER,Homecraft,No
DRIVE-SELF RENTAL OWNER,Homecraft Other,No
DRIVE-SELF RENTAL OWNER,One-Family Dwelling Primary (1 Rental) and Laneway,No
DRIVE-SELF RENTAL OWNER,Gasoline Station Self-Serve Station,No
DRIVE-SELF RENTAL OWNER,Secondary Suite - Permanent Primary (1 Rental),No
DRIVE-SELF RENTAL OWNER,Business Services,No
DRIVE-SELF RENTAL OWNER,Secondary Suite - Permanent Laneway Rental,No
DRIVE-SELF RENTAL OWNER,Homecraft Candlemaking *Historic*,No
DRIVING SCHOOL OPERATOR (B),School (Private) Business School,No
DRIVING SCHOOL OPERATOR (B),Public Market Operator-Annual,No
DRIVING SCHOOL OPERATOR (B),School (Business & Trade) Business School,No
DRIVING SCHOOL OPERATOR (B),School (Private),No
DRIVING SCHOOL OPERATOR (B),School (Business & Trade),No
DRIVING SCHOOL OPERATOR (B),School (Business & Trade) Trade School,No
DRIVING SCHOOL OPERATOR (B),Warehouse Operator - Food,No
DRIVING SCHOOL OPERATOR (B),Equipment Operator,No
DRIVING SCHOOL OPERATOR (B),Office Tour Operator/Guide,No
DRIVING SCHOOL OPERATOR (B),Warehouse Operator - Food Broker,No
DRIVING SCHOOL OPERATOR (B),Warehouse Operator,No
DRIVING SCHOOL OPERATOR (B),Homecraft,No
DRIVING SCHOOL OPERATOR (B),Homecraft Other,No
DRIVING SCHOOL OPERATOR (B),Warehouse Operator Clothing/Shoes,No
DRIVING SCHOOL OPERATOR (B),Agriculture Urban Farm Class B,No
DRIVING SCHOOL OPERATOR (B),Marina Operator,No
DRIVING SCHOOL OPERATOR (B),Homecraft Candlemaking *Historic*,No
DRIVING SCHOOL OPERATOR (V),Public Market Operator-Annual,No
DRIVING SCHOOL OPERATOR (V),School (Business & Trade) Business School,Yes
DRIVING SCHOOL OPERATOR (V),School (Private) Business School,No
DRIVING SCHOOL OPERATOR (V),School (Business & Trade),Yes
DRIVING SCHOOL OPERATOR (V),School (Private),No
DRIVING SCHOOL OPERATOR (V),School (Business & Trade) Trade School,No
DRIVING SCHOOL OPERATOR (V),Warehouse Operator - Food,No
DRIVING SCHOOL OPERATOR (V),Equipment Operator,No
DRIVING SCHOOL OPERATOR (V),Warehouse Operator - Food Broker,No
DRIVING SCHOOL OPERATOR (V),Office Tour Operator/Guide,No
DRIVING SCHOOL OPERATOR (V),Warehouse Operator,No
EATING ESTABLISHMENT,Ltd Service Food Establishment,Yes
EATING ESTABLISHMENT,Ltd Service Food Establishment Other,Yes
EATING ESTABLISHMENT,Ltd Service Food Establishment Produce,No
EATING ESTABLISHMENT,Ltd Service Food Establishment Flowers,Yes
EATING ESTABLISHMENT,Ltd Service Food Establishment Concession Stand,Yes
EATING ESTABLISHMENT,Ltd Service Food Establishment No Liquor Service,No
EATING ESTABLISHMENT,Homecraft,No
EATING ESTABLISHMENT,Homecraft Other,No
EATING ESTABLISHMENT,Ltd Service Food Establishment Convenience Store,Yes
EATING ESTABLISHMENT,Homecraft Candlemaking *Historic*,No
EATING ESTABLISHMENT,Ltd Service Food Establishment Beauty Salon,No
EATING ESTABLISHMENT,Ltd Service Food Establishment Clothing/Shoes,Yes
EATING ESTABLISHMENT,Liquor Establishment Extended Class 7 (Private Club),No
EATING ESTABLISHMENT,Liquor Establishment Standard Class 7 (Private Club),No
EATING ESTABLISHMENT,CNIB Concession - Food,No
EATING ESTABLISHMENT,Liquor Establishment Extended Class 5 501-950 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Extended Class 4 301-500 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Extended Class 6 951 and up Seats,No
EATING ESTABLISHMENT,Liquor Establishment Standard Class 5 501-950 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Standard Class 4 301-500 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Extended Class 2 66-150 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Standard Class 2 66-150 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Extended Class 3 151-300 Seats,No
EATING ESTABLISHMENT,Liquor Establishment Standard Class 3 151-300 Seats,No
EATING ESTABLISHMENT,Office Development Company,No
EATING ESTABLISHMENT,Health Services Denturist,No
EATING ESTABLISHMENT,Contractor Building,No
EATING ESTABLISHMENT,Retail Dealer - Food,No
EATING ESTABLISHMENT,Retail Dealer - Food Other,No
EATING ESTABLISHMENT,Retail Dealer - Food Neighbourhood,No
EATING ESTABLISHMENT,Wholesale Dealer - Food,No
EATING ESTABLISHMENT,Wholesale Dealer - Food Other,No
EATING ESTABLISHMENT,Business Services,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Adult Entertainment Store,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services 1-900 Service,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Children's Entertainment,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Radio Station,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Other,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Centre,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services TV Station,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Event Coordinator,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Face Painting,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment Other,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Dance/Event Promoter,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Song Writer,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Producer,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Recording/Duplication,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Aquarium,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Football Handicaps *Historic*,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Laser Tag,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Press/Media/Reporter,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Actor/Stunt Person,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Cartoon/Animation,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment No Liquor Service,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Hypnotist,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment Produce,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Writer/Editor,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Composer,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment Beauty Salon,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Disc Jockey,Yes
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment Convenience Store,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Liquor Establishment Standard Class 7 (Private Club),No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Liquor Establishment Extended Class 7 (Private Club),No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Entertainment Services Curling Rink,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment Concession Stand,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Homecraft,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Homecraft Other,No
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,Ltd Service Food Establishment Flowers,No
HAWKER/PEDLAR ON FOOT,Homecraft,No
HAWKER/PEDLAR ON FOOT,Homecraft Other,No
HAWKER/PEDLAR WITH MOTOR VEHICLE,Lounge 'A' *Historic* Motor Vessel,No
HAWKER/PEDLAR WITH MOTOR VEHICLE,Homecraft,No
HAWKER/PEDLAR WITH MOTOR VEHICLE,Homecraft Other,No
HAWKER/PEDLAR WITH MOTOR VEHICLE,Liquor License Application Motor Vessel,No
HAWKER/PEDLAR WITH PUSH CART,Homecraft,No
HAWKER/PEDLAR WITH PUSH CART,Homecraft Other,No
HORSE DRAWN VEHICLE OWNER,Horse Racing,Yes
HORSE DRAWN VEHICLE OWNER,Homecraft,No
HORSE DRAWN VEHICLE OWNER,Homecraft Other,No
HORSE DRAWN VEHICLE OWNER,Homecraft Candlemaking *Historic*,No
INSULATION INSTALLER,Contractor - Special Trades Insulation,No
LAUNDRY,Laundry Depot,Yes
LAUNDRY,Laundry (w/equipment),Yes
LAUNDRY,Laundry-Coin Operated Services,Yes
LIMOUSINE SERVICE COMPANY,Office Development Company,No
LIMOUSINE SERVICE COMPANY,Office Design Company,No
LIMOUSINE SERVICE COMPANY,Office Management Company,No
LIMOUSINE SERVICE COMPANY,Office Insurance Company,No
LIMOUSINE SERVICE COMPANY,Production Company Other,No
LIMOUSINE SERVICE COMPANY,Office Mortgage Company,No
LIMOUSINE SERVICE COMPANY,Financial Services Investment Company,No
LIMOUSINE SERVICE COMPANY,Computer Services Design Company,No
LIMOUSINE SERVICE COMPANY,Financial Services Trust Company,No
LIMOUSINE SERVICE COMPANY,Financial Services Mortgage Company,No
LIMOUSINE SERVICE COMPANY,Manufacturer Design Company,No
LIMOUSINE SERVICE COMPANY,Production Company Video Production,No
LIMOUSINE SERVICE COMPANY,Production Company Music Production,No
LIMOUSINE SERVICE COMPANY,Production Company Film Production,No
LIMOUSINE SERVICE COMPANY,Business Services,No
LIMOUSINE SERVICE COMPANY,Financial Institution Trust Company,No
LIMOUSINE SERVICE COMPANY,Production Company TV Production,No
